Nro_Tweet,Query,Usuario,Texto,Data de Criacao,Retweets,Likes
252,Corinthians,Futebol Nostálgico!,"Corinthians x Vasco na final do Mundial em 2000. 🤯

 https://t.co/08MFWt7lG5",Sat Jun 14 20:50:48 +0000 2025,4,58
253,Corinthians,corinthians da silva,mas tem que se odiar muito pra assistir um grêmio x corinthians as 20h de uma quinta feira dia dos namorados,Thu Jun 12 18:02:39 +0000 2025,1,6
254,Corinthians,Elyel ˢᶜᶜᵖ 31𝘅 🏆🦅,A Neo química Arena toda falando vai Corinthians ao invés de vai Brasil 🦅 https://t.co/a2ISftZIFN,Wed Jun 11 02:44:43 +0000 2025,567,6694
255,Corinthians,Meu Timão,"Osmar Stabile fala sobre estar na presidência do Corinthians e pede apoio em prol do clube.

🎥 @caiobatimao 

🔴 Apoio: @KTO_brasil – Jogue com responsabilidade (+18) https://t.co/xd0BsEuUil",Sat Jun 14 17:12:06 +0000 2025,6,59
256,Corinthians,Elyel ˢᶜᶜᵖ 31𝘅 🏆🦅,"Emiliano Diaz é um cara foda.

Espero que um dia ele volte pro Corinthians. https://t.co/nk43Ty3dOJ",Fri Jun 13 02:29:23 +0000 2025,20,1115
257,Corinthians,DataPorco,O catado do Abel já perdeu pro pior Boca Jrs da história. Já perdeu pro pior Corinthians dos últimos anos. Pro pior São Paulo... Não há otimismo. https://t.co/cdZx2yUtjp,Sat Jun 14 12:28:59 +0000 2025,32,248
258,Corinthians,The Godly Quest,1 Corinthians 11. https://t.co/MH9lr7uxRU,Thu Jun 12 23:29:32 +0000 2025,0,7
259,Corinthians,Caverna do Morcego,"🦇❗️VAI CORINTHIANS!

De acordo com o site Feature First, o nome de produção do filme do Cara de Barro será Corinthians. https://t.co/RpRBjlP51O",Thu Jun 12 23:10:32 +0000 2025,9,135
260,Corinthians,Corinthians Futebol Feminino,"Preparação encerrada para enfrentar o Internacional, amanhã, pelo Campeonato Brasileiro Feminino. ⚽️👊

#VaiCorinthians https://t.co/yi2OKQLtfV",Sat Jun 14 21:01:51 +0000 2025,8,75
261,Corinthians,Jesus Christ Is God,"2 Corinthians 12:9 states that God's grace is sufficient for the believer and that His power is made perfect in weakness. Paul, in this verse, expresses his willingness to boast in his weaknesses so that the power of Christ may rest upon him. https://t.co/3lvGBYTaKY",Thu Jun 05 21:52:09 +0000 2025,99,533
262,Corinthians,𝒜𝓅𝓇𝒾𝓁 𝒮𝓅𝒶𝓇𝓀𝓈,"🙏🏼✝️2 Corinthians 4:4✝️🙏🏼
In whom the god of this world hath blinded the minds of them which believe not, lest the light of the glorious gospel of Christ, who is the image of God, should shine unto them.

These are lost souls desperately in need of Gods Word https://t.co/AcOPsN2a5x",Fri Jun 13 14:37:21 +0000 2025,93,149
263,Corinthians,Meu Timão,"Coluna de @BPantarotto_: ""Algumas lições que puderam ser notadas neste curto período de tempo sob o comando de Dorival Júnior.""

Leia 👇
https://t.co/BtumdkPh2Q",Sat Jun 14 21:20:47 +0000 2025,0,9
264,Corinthians,J.C. Ryle,"The natural person does not accept the things of the Spirit of God, for they are folly to him, and he is not able to understand them because they are spiritually discerned. -2 Corinthians 2:14 https://t.co/ag8I8AzF4d",Tue Jun 10 23:30:00 +0000 2025,217,1002
265,Corinthians,Cigarro,"""Corinthians vai anunciar um pacote de reforços em breve""

eu já sabendo da possibilidade de ser 55 atacantes enquanto nossa zaga tá em estado de decomposição https://t.co/CkniWU0B4T",Mon Jun 09 16:13:10 +0000 2025,377,2706
266,Corinthians,Meu Timão,"Osmar Stabile conversa com torcedor sobre resolver os problemas do Corinthians e “bate no peito” após pedir gestão com responsabilidade. 

🎥 @caiobatimao 

🔴 Apoio: @KTO_brasil – Jogue com responsabilidade (+18) https://t.co/U1kxpKzE6n",Sat Jun 14 16:36:43 +0000 2025,6,120
267,Corinthians,Lance! Corinthians,Presidente em exercício do Corinthians diz que não pode esperar 60 dias para tomar decisões https://t.co/Rg4KPST4fX #Corinthians #Futebol #Protesto https://t.co/nlidLBWhs0,Sat Jun 14 18:19:10 +0000 2025,1,9
268,Corinthians,ct 🇧🇷,um gol do corinthians que quase ninguém lembra mas eu tenho um grande carinho https://t.co/YZ4QiHXsfe,Mon Jun 09 23:09:18 +0000 2025,23,1430
269,Corinthians,Knights Templar International,"“In the name of our Lord Jesus Christ, when ye are gathered together, and my spirit, with the power of our Lord Jesus Christ,” 1 Corinthians 5:4 https://t.co/D2v4nBRJFM",Sat Jun 14 15:30:00 +0000 2025,34,174
270,Corinthians,Professor Nez,"And no wonder, for even Satan disguises himself as an angel of light.
-2 Corinthians 11:14 https://t.co/qAvvYmDI3P",Sat Jun 14 17:31:33 +0000 2025,7,22
271,Corinthians,Identidade Corinthiana,"🇧🇷
Seleção vence o Paraguai e confirma classificação para a #CopaDoMundo!

Enquanto isso, parte da torcida briga por lugares marcados na arquibancada. 

VAI, BRASIL!
O torcedor brasileiro está unido por você! 👀

#identidadecorinthiana #brasil #BRAxPAR  #Corinthians https://t.co/5fcGNX2GB1",Wed Jun 11 04:04:48 +0000 2025,15,337
272,Corinthians,Curiosidades Brasil,"GOLAÇO DE BRENO BIDON!

GRÊMIO 1-1 CORINTHIANS! 

 https://t.co/mtdAZ1Qjst",Thu Jun 12 23:38:06 +0000 2025,30,175
273,Corinthians,Presida,"Quais serão as notícias sobre o Corinthians durante essa pausa de um mês?
https://t.co/cXaL6CHig8",Sat Jun 14 17:38:43 +0000 2025,0,69
274,Corinthians,THE GOOD-LIFE NATION,"1 Corinthians 3:21
 All things are yours, but you have the responsibility of making them yours. -RPN 

#RPN 

#APeopleCome https://t.co/bqWDXXT2ZR",Sat Jun 14 18:51:01 +0000 2025,66,81
275,Corinthians,TNT Sports BR,O MATHEUZINHO É RAÇA DEMAIS! 🔥 Se liga na bola que o lateral do Corinthians foi buscar! #Brasileirão2025 https://t.co/CRD58a5wxk,Sun Jun 01 23:52:09 +0000 2025,10,602
276,Corinthians,Sword⚔️&Torch🔦of God🤺🛡️📖🩺🏥,"Therefore if any man be in Christ, he is a new creature: old things are passed away; behold, all things are become new.
- 2 Corinthians 5:17 https://t.co/ChSXii5Msf",Wed Jun 11 19:52:43 +0000 2025,98,435
277,Corinthians,Crônica Alvinegra,"Tevez mostrando como se deve bater um pênalti e tirando uma chupeta do saco e colocando na boca, e por fim, o Corinthians vencendo o atlético em Minas mais um vez. https://t.co/KUgvMaRr6c",Thu Jun 12 12:06:56 +0000 2025,5,524
278,Corinthians,Premiere,"TEM EMPATE AÍ! GOOOOOL! É DO CORINTHIANS! BRENO BIDON!

Tudo igual na Arena do Grêmio! Um belíssimo tapa de Bidon, de fora da área! Ele teve tempo de dominar e ajeitar pra mandar a pedrada! 

Baita jogo, tá?

#BrasileiraoNoPremiere https://t.co/iL5f2tUDX5",Thu Jun 12 23:37:28 +0000 2025,0,10
279,Corinthians,alexandre morgan,"fodase o seu relacionamento, hoje tem corinthians",Thu Jun 12 03:04:14 +0000 2025,1368,2773
280,Corinthians,ge,"""Fecha as pernas aí, meu garoto!""

Que caneta do Caipira, do Corinthians, em Rayan Lucas, do Flamengo. https://t.co/2Ct0Y5jsoe",Thu Jun 12 00:58:07 +0000 2025,5,64
281,Corinthians,Elyel ˢᶜᶜᵖ 31𝘅 🏆🦅,O dia em que o Zico madrugou e torceu pro Corinthians ser campeão da libertadores. https://t.co/A8UEGN2IsR,Mon Jun 09 02:15:36 +0000 2025,40,821
282,Corinthians,Meu Timão,"⚠️ | Presidente interino do Corinthians fala sobre possíveis contratações.

“A gente já está conversando com o financeiro. Não vou fazer nada que o financeiro diga para mim que não possa ser feito [...] O que eu quero falar para vocês é o seguinte: o Corinthians, evidentemente, https://t.co/wO1aBHGHP6",Sat Jun 14 17:24:45 +0000 2025,4,190
283,Corinthians,Central do Timão,"PAUSA! 🏴🏳️

O Corinthians fecha a pausa da temporada em 10º lugar no Brasileirão, com 16 pontos em 12 jogos. Dá pra sonhar com mais na volta? https://t.co/lq3NTxNyjI",Fri Jun 13 15:27:52 +0000 2025,1,14
284,Corinthians,Grêmio Notícias,"GOOOOOOOL!

⚽️ Martin Braithwaite

Grêmio 1 X 0 Corinthians https://t.co/FYJIzzVJTo",Thu Jun 12 23:33:53 +0000 2025,6,27
285,Corinthians,GloboNews,"A Polícia Civil de São Paulo identificou depósitos “incomuns” na conta do presidente afastado do Corinthians, Augusto Melo. Em quatro meses, ele teria recebido mais de R$ 152 mil em espécie. @isaleitejor tem os detalhes.

➡ Assista ao #Estúdioi: https://t.co/bFwcwLpLU9 https://t.co/upxlmiPQzy",Fri Jun 06 18:43:03 +0000 2025,2,22
286,Corinthians,Goleada Info,"Um dos líderes da Gaviões da Fiel,
torcida organizada do Corinthians, cobrou o lateral Matheusinho por ter retrucado as críticas de um torcedor no último jogo na Neo Química Arena. 

“Tem que escutar a crítica e ficar quieto.”

https://t.co/m5yoAQtc3q",Thu Jun 05 23:52:34 +0000 2025,3,40
287,Corinthians,Corinthians,"Aprovado por Carlo Ancelotti! ☑️🇧🇷

O treinador da Seleção Brasileira avaliou a estrutura do CT Dr. Joaquim Grava, que a CBF teve para sua preparação, e também opinou sobre as condições da Casa do Povo. 🏟️🤩

#NeoQuimicaArena
#VaiCorinthians https://t.co/NShZZnemp2",Mon Jun 09 21:05:46 +0000 2025,433,7490
288,Corinthians,Todd Trotter,"1 Corinthians 11:11 
Nevertheless neither is the man without the woman, neither the woman without the man, in the Lord. https://t.co/ALJJOg99iV",Sat Jun 14 09:36:49 +0000 2025,10,48
289,Corinthians,Jake H,"1 Corinthians 13:
4 Love suffers long and is kind; love does not envy; love does not parade itself, is not puffed up;
5 does not behave rudely, does not seek its own, is not provoked, thinks no evil;
6 does not rejoice in iniquity, but rejoices in the truth;
7 bears all things, https://t.co/SjVXKpZqQq",Fri Jun 13 12:16:19 +0000 2025,187,215
290,Corinthians,rafitiia,ele é meu pai e pai do Corinthians coisa linda https://t.co/XX88dNCcOl,Fri Jun 06 18:21:22 +0000 2025,26,1307
291,Corinthians,Elyel ˢᶜᶜᵖ 31𝘅 🏆🦅,Hoje tem Corinthians https://t.co/Nl8OjmgN8T,Thu Jun 12 03:08:48 +0000 2025,101,1963
292,Corinthians,90s Footballers,Ronaldo returning to Brazil to finish his career at Corinthians and doing things like this 😍 https://t.co/YP2ys92yIw,Mon Jun 09 17:47:00 +0000 2025,180,2517
293,Corinthians,ge,"Garro, após Grêmio 1 x 1 Corinthians: ""Fizemos um jogo bom, controlamos, mas numa falta de concentração a gente tomou um gol"". https://t.co/EJ3XUwz1co",Fri Jun 13 01:09:09 +0000 2025,5,61
294,Corinthians,Corinthians Futebol Feminino,"Da o ▶️ nesse golaço da Vic. 😮‍💨🤌🏻

#AsBrabas
#VaiCorinthians https://t.co/GaviBuOxjA",Tue Jun 10 02:51:50 +0000 2025,49,486
295,Corinthians,Fred Vasquez,"12 dias parado treinando e parece que não muda nada, nós vamos cair e a culpa é dessa bagunça que é o Corinthians, que aposta nessa comissão ridicula que não tem o minimo de capacidade pra comandar um time como esse",Fri Jun 13 01:25:03 +0000 2025,0,2
296,Corinthians,Grêmio FBPA,"QUINTA-FEIRA NÃO CHEGA NUNCA! 🙃🇪🇪 Parece que o tempo não passa sem jogo do Tricolor.

👉🏾 Contamos contigo no duelo com o Corinthians! 🎫 Ingresso em: https://t.co/ZennIsMrDt https://t.co/DN81lwiNPX",Mon Jun 09 19:04:52 +0000 2025,38,684
297,Corinthians,LIBERTA DEPRE,"Torcedor: "" Vini vem pro Corinthians.""

Vini Jr. ""Aí não dá.""

📽️ @btbsportsbr_

https://t.co/QIh24fpQDc",Sun Jun 08 17:15:51 +0000 2025,235,10438
298,Corinthians,Corinthians Depressão,O time de Portugal vendo a mulekada da Espanha amassando a França como se fosse um interclasse https://t.co/sHTMGZUlzJ,Thu Jun 05 20:13:59 +0000 2025,131,2742
299,Corinthians,Corinthians,"Fala, Hugo Souza 1️⃣! 🔙

Nosso paredão já chegou após sua convocação e, a classificação de ontem pra Copa do Mundo na Neo Química Arena! 🖤🤍

#VaiCorinthians https://t.co/J0zD2uKJ6Q",Wed Jun 11 20:00:01 +0000 2025,69,2123
300,Corinthians,Corinthians Depressão,"KKKKKKKKKK mas o Flamengo é a maior torcida do Brasil sim rapaziada, confia não existe isso de terceirizada",Fri Jun 13 21:54:10 +0000 2025,99,1552
301,Corinthians,Neo Química Arena,"🗓️ Oito anos atrás, em jogo contra o Cruzeiro pelo Brasileirão 2017, o Corinthians venceu a equipe mineira pelo placar de 1️⃣ a 0️⃣. ⚽️🏟️

O gol corinthiano foi marcado por Balbuena, que subiu mais alto que todos após escanteio cobrado por Jadson. 🫡🏴🏳️

#NeoQuimicaArena https://t.co/Vbt8iiM8D8",Sat Jun 14 18:11:13 +0000 2025,5,74
302,Corinthians,Corinthians,"📍 Arena do Grêmio 🏟️

Vamos para a 12ª rodada do Brasileirão 2025! 🏴🏳️

Jogaremos a partida de número 103 contra o Grêmio nesta noite. ⚽

📸 Gustavo Vasco / Corinthians

#GRExSCCP
#VaiCorinthians https://t.co/HiLA3y410A",Thu Jun 12 20:34:26 +0000 2025,32,765
303,Corinthians,Andres Sanchez,Imagina se EU processasse o Corinthians para voltar ao poder?? Uma quadrilha de Golpistas e Pinóquios!! Um exército de Pinóquios!! Eu avisei… https://t.co/67ISS02hL5,Fri Jun 06 18:11:06 +0000 2025,25,649
304,Corinthians,Curiosidades Brasil,Corinthians x Flamengo na Libertadores 2010. https://t.co/lEv2YpUfC8,Wed Jun 11 21:00:01 +0000 2025,31,446
305,Corinthians,Rafa SCCP,Todo Corinthiano deveria ficar sócio do Clube do Corinthians. Dessa forma poderá colaborar pra mudar a situação deprimente que vivemos hoje. A instituição é refém da maioria de sócios que não quer perder privilégios e benefícios. Precisamos de novas pessoas que querem mudanças.,Sat Jun 14 16:05:10 +0000 2025,16,116
306,Corinthians,Crônica Alvinegra,O Claudinho (e Buchecha) se apresentando no programa da Furacão 2000 com a camisa mais bonita da história do Corinthians. https://t.co/9GAYRf69Ph,Mon Jun 09 14:37:12 +0000 2025,177,2836
307,Corinthians,Gols do Brasileirão ⚽️🇧🇷,"🚨 Líder da Gaviões da Fiel, principal organizada do Corinthians, manda recado para Matheuzinho após discussão com torcedor na Neo Química Arena:

""Deu sorte que foi no Setor Oeste. Se fosse a gente, você ia ver.""

🎥 [@MeuTimao]

 https://t.co/I9pdJAyHfn",Fri Jun 06 15:30:52 +0000 2025,9,50
308,Corinthians,Meu Timão,"Você acha que o Corinthians fez um bom jogo contra o Grêmio apesar do empate?

🎥 Pós-Jogo do Meu Timão

🔴 Apoio: @kto_brasil – Jogue com responsabilidade (+18) https://t.co/eigwdcDP7H",Fri Jun 13 01:29:37 +0000 2025,3,100
309,Corinthians,Cavalinho do Corinthians,Tem que ser muito pequeno pra perder do Vasco em casa https://t.co/RG8tyiNQHo,Fri Jun 13 02:35:07 +0000 2025,119,1623
310,Corinthians,Meu Timão,"Em meio a protesto dos associados do Corinthians no Parque São Jorge, Romeu Tuma Jr. e Osmar Stabile conversaram com torcedores sobre a reforma do estatuto e o voto do Fiel Torcedor.

🎥 @caiobatimao 

🔴 Apoio: @KTO_brasil - Jogue com responsabilidade (+18) https://t.co/l53fcrgyeO",Sat Jun 14 16:00:11 +0000 2025,12,170
311,Corinthians,Cesar Marques,"O anticorinthianismo é uma epidemia eterna, incurável, que mistura ódio, ojeriza, injúrias, preconceito de classe e até racismo.  

O objetivo do anticorinthiano é tratar o corinthiano, ou o jogador do Corinthians, como ser de menor relevância e valor.

É disso que se trata...",Fri Jun 13 23:08:51 +0000 2025,54,753
312,Corinthians,✠Estagiário do VASCO✠,"🚨 O Vasco sondou a situação do atacante Helinho, do Toluca.

Além do cruzmaltino, Corinthians e São Paulo também demonstraram interesse no jogador.

Os clubes buscam um empréstimo com opção de compra, já que o atleta perdeu um pouco de espaço no time mexicano.

🗞 @andrehernan https://t.co/bf5CTk22Y7",Thu Jun 12 17:30:23 +0000 2025,11,455
313,Corinthians,Elyel ˢᶜᶜᵖ 31𝘅 🏆🦅,Sonham em ser Corinthians KKKKKKKKKKKKKKKKKKKKKK https://t.co/AolqCuVYqv,Thu Jun 12 23:58:57 +0000 2025,160,1891
314,Corinthians,TNT Sports BR,O CORINTHIANS EM VOOS MAIS ALTOS? 🦅 O Garro garantiu que está com a cabeça no Timão e que quer brigar por títulos! #Brasileirão2025 https://t.co/6y5ptVvcC2,Mon Jun 02 00:54:07 +0000 2025,19,508
315,Corinthians,Crônica Alvinegra,"Eu vi esse jogar com a camisa do Corinthians, sabe.

Eu estava no estádio.

Eu vivi isso!

https://t.co/yzVQTZuAw1",Sun Jun 08 00:01:00 +0000 2025,32,959
316,Corinthians,Corinthians,"Histórico! 👉🏽🦁👈🏽

O maior artilheiro da história da Holanda veste a 🔟 do Corinthians! ⚫️⚪️

#VaiCorinthians https://t.co/L3zRoqYVFE",Tue Jun 10 22:00:01 +0000 2025,504,6814
317,Corinthians,Meu Timão,"Rodrigo Garro tentando dar caneta em André Ramalho no treino do Corinthians 😅

🎥 @jummacori / Meu Timão

🔴 Apoio: @KTO_brasil - Jogue com responsabilidade (+18) https://t.co/550oHIyG2F",Fri Jun 06 15:06:08 +0000 2025,5,303
318,Corinthians,Crozão 🦅🎮,"🚨🚨🚨 Rapaziada, tava trocando ideia com o Phill aqui e ele disse que é FAKE a vinda dele pra ser CEO do corinthians. https://t.co/7IhIKFhvD5",Sun Jun 08 23:40:09 +0000 2025,22,2143
319,Corinthians,"Fé DePay 0,4%👉🏻🦁👈🏻 Acesso Liberado FIFA🏆🏆",Yuri Alberto diz que fica no Corinthians e volta a jogar em Julho. https://t.co/iTh35r1Fbp,Thu Jun 12 05:56:39 +0000 2025,8,94
320,Corinthians,Meu Timão,"Você conhece o Kauê Furquim, joia da base do Corinthians? 👀💎

🎥 @victor__godoy / Meu Timão https://t.co/h5Yg4KS5vO",Tue Jun 10 14:43:48 +0000 2025,9,115
321,Corinthians,The Bible,1 Corinthians 16:14 https://t.co/63NLfnzmEE,Sun Jun 08 17:57:38 +0000 2025,192,1273
322,Corinthians,Meu Timão,"Lucas Piccinato fala sobre as críticas da torcida corinthiana e relembra passagem de Arthur Elias pelo time feminino do Corinthians.

🎥 @mabiateves / Meu Timão

🔴 Apoio: @kto_brasil – Jogue com responsabilidade (+18) https://t.co/AS68xgNmPj",Tue Jun 10 22:42:30 +0000 2025,6,44
323,Corinthians,𝒔𝒄𝒄𝒑 𝒅𝒊𝒆𝒈𝒐 🦅,1 MÊS SEM CORINTHIANS https://t.co/Rnor0xbYCH,Fri Jun 13 00:57:09 +0000 2025,437,1504
324,Corinthians,Benjamin Rapture Ready,"” Behold, I tell you a mystery: We shall not all sleep, but we shall all be changed, in a moment, in the twinkling of an eye, at the last trumpet. For the trumpet will sound, and the dead will be raised incorruptible, and we shall be changed.” (1 Corinthians 15:51,52)

All https://t.co/TjAMjoK7Bs",Fri Jun 06 05:13:44 +0000 2025,59,268
325,Corinthians,Elyel ˢᶜᶜᵖ 31𝘅 🏆🦅,O que vcs acharam do 1° tempo do Corinthians??? https://t.co/t9uA1AOaSA,Thu Jun 12 23:53:38 +0000 2025,0,58
326,Corinthians,The Hobbit,"Rise and Shine! Good Morning! Happy Saturday! Continue to pray for our President and our country. Don’t get distracted and let’s be united👇have faith!

For we live by faith, not by sight.
2 Corinthians 5:7
🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 https://t.co/e3UHdVySMO",Sat Jun 07 10:23:43 +0000 2025,10,116
327,Corinthians,Antifa_Ultras,"PHOTO | One of the most iconic photographs in football history.

(Corinthians, Brasil) https://t.co/ScZYoFgmat",Wed Jun 11 23:54:59 +0000 2025,78,1126
328,Corinthians,Cavalinho do Corinthians,https://t.co/SuAxU3fnoU,Thu Jun 12 11:11:25 +0000 2025,1581,6251
329,Corinthians,SPFC Info,"⚠️ As negociações entre Igor Vinicius e Corinthians esfriaram nos últimos dias, devido a reação negativa da torcida rival com a operação.

[@UOLEsporte] https://t.co/LrxDDJKywv",Sat Jun 14 17:43:59 +0000 2025,3,87
330,Corinthians,rodriguesˢᶜᶜᵖ,"Acho que essa é a curiosidade mais absurda que eu já vi de um jogador do Corinthians.

Marcelinho Carioca, em 1994: 

• 33 gols;
• 46 assistências;

Sim, ele fez incríveis 79 G/A em uma temporada - SETENTA E NOVE GOLS E ASSISTÊNCIAS.

Números de Messi e CR7, genial demais po! https://t.co/Ze02iYHxdd",Sat Jun 07 01:37:12 +0000 2025,196,4253
331,Corinthians,Ricardo,"E o Corinthians segue sendo o ÚNICO clube do Brasil punido com a perda um mando de campo. Partida essa que seria arrecadado quase R$ 3 milhões (media do clube como mandante). 

O time da Leila tomou uma multa de R$ 240 mil.

PIADA!",Fri Jun 13 16:57:16 +0000 2025,107,1385
332,Corinthians,TNT Sports BR,"O DORIVAL TÁ GOSTANDO DO DESEMPENHO DO CORINTHIANS! 🦅 O professor acha que, apesar dos últimos resultados, o Timão tem tido um bom desempenho nos jogos! #Brasileirão2025 https://t.co/eGTR6ZhpDg",Mon Jun 02 01:06:05 +0000 2025,3,47
333,Corinthians,YouVersion Bible App,1 Corinthians 16:13 https://t.co/zyBMtS3XXC,Sat Jun 07 12:09:05 +0000 2025,385,2200
334,Corinthians,𝖊𝖉𝖚𝖆𝖗𝖉𝖔 𝖘𝖎𝖑𝖛𝖆,o grêmio é horrível e o corinthians consegue ser pior q eles é inacreditável,Fri Jun 13 00:26:30 +0000 2025,5,12
335,Corinthians,TNT Sports BR,O CORINTHIANS SE DEU MAL NO SORTEIO DA COPA DO BRASIL?! 👀👀 Vai rolar Derby Paulista nas oitavas de final e a nossa @GiovannaKiill  deu sua opinião!! #CopaDoBrasil2025 https://t.co/r2qI2UhzNy,Mon Jun 02 19:14:23 +0000 2025,4,101
336,Corinthians,Corinthians Depressão,Pov: quando você percebe que está a 1 semana sem ver jogo do Corinthians e desbloqueia o poder absoluto da mente https://t.co/2reli195d1,Mon Jun 09 14:13:56 +0000 2025,75,540
337,Corinthians,GOL_TV,"⚽️ GOL DO CORINTHIANS ! 

Breno Bidon | Grêmio 1x1 Corinthians 

#Brasileirão2025 | #GRExSCCP https://t.co/EGoe3DDEay",Thu Jun 12 23:37:48 +0000 2025,2,35
338,Corinthians,Meu Timão,"Osmar Stabile responde sobre a possibilidade do Corinthians contratar reforços nessa janela.

🎥 @caiobatimao 

🔴 Apoio: @KTO_brasil – Jogue com responsabilidade (+18) https://t.co/qK5OBjfJaE",Sat Jun 14 19:19:06 +0000 2025,5,71
339,Corinthians,Timão Números,Corinthians já levou mais de 40 mil torcedores como visitante na temporada em competições nacionais e estaduais. https://t.co/XJAUqpe8ER,Sat Jun 14 13:44:08 +0000 2025,17,381
340,Corinthians,Identidade Corinthiana,"E esse encontro aqui no final do primeiro tempo 😍

🎥 @rogeriorodrig_ / Agência IDC

#Corinthians #Brasil https://t.co/lQcvlBrkXr",Wed Jun 11 01:47:01 +0000 2025,153,4314
341,Corinthians,TNT Sports BR,MATHEUZINHO FOI COBRAR O CORNETA NO FIM DO JOGO! 😱 O lateral do Corinthians contou o que foi falar ao final da partida! #Brasileirão2025 https://t.co/xDdT6MO73j,Mon Jun 02 00:57:51 +0000 2025,5,62
342,Corinthians,Bitternesstojoy,"1 Corinthians 1-5

Paul called to be an apostle of Jesus Christ through the will of God, and Sosthenes our brother,
Unto the church of God which is at Corinth, to them that are sanctified in Christ Jesus, called to be saints, with all that in every place call upon the name of https://t.co/g6AHcivyS2",Thu Jun 12 11:34:17 +0000 2025,152,225
343,Corinthians,Jake H,"2 Corinthians 1:
3 Blessed be the God and Father of our Lord Jesus Christ, the Father of mercies and God of all comfort,
4 who comforts us in all our tribulation, that we may be able to comfort those who are in any trouble, with the comfort with which we ourselves are comforted https://t.co/srR2K7jl15",Sat Jun 07 12:20:25 +0000 2025,155,202
344,Corinthians,Meu Timão,"Breno Bidon marcou um GOLAÇO para empatar o placar para o Corinthians 🎨

🎙️ Vinicius Brito / Meu Timão

🔴 Apoio: @kto_brasil – Jogue com responsabilidade (+18) https://t.co/dHPBySBXCW",Thu Jun 12 23:50:07 +0000 2025,40,986
345,Corinthians,ge,Mais um golaço! Breno Bidon empata para o Corinthians diante do Grêmio! https://t.co/uQJkX12jxx,Thu Jun 12 23:40:43 +0000 2025,44,2070
346,Corinthians,vitao corinthians,tão deixando a gente sonhar..,Fri Jun 13 11:46:44 +0000 2025,2,8
347,Corinthians,Elyel ˢᶜᶜᵖ 31𝘅 🏆🦅,Hugo Souza falando sobre o Corinthians e seleção brasileira https://t.co/coszGnAkYU,Sun Jun 08 03:29:30 +0000 2025,53,1499
348,Corinthians,Christ Above Us,"For as in Adam all die, even so in Christ shall all be made alive.

1 Corinthians 15:22 KJV https://t.co/GhJJMf8DJy",Thu Jun 12 01:33:57 +0000 2025,113,400
349,Corinthians,Cadu,"Repito: Corinthians é um projeto mal sucedido do Flamengo 

Tudo que vêm deles é de um lugar de inveja e desejo de ser.",Fri Jun 13 19:55:29 +0000 2025,5,16
350,Corinthians,TNT Sports BR,"AUTÓGRAFO ESPECIAL! ✍🏼 Esse é pra guardar com carinho, hein?! Antes de ir para o treino da Seleção, Marquinhos atendeu alguns fãs e deixou um autógrafo na camisa do Corinthians, clube onde foi revelado. https://t.co/cqjNL9G6kx",Fri Jun 06 17:41:46 +0000 2025,1,50
351,Corinthians,Crônica Alvinegra,"Carillo Prime é coisa de maluco.

Espero que meu mano Dorival tenha assistido os últimos 9 jogos do Corinthians no Brasileirão 2024. https://t.co/2DqqthdUox",Wed Jun 11 20:31:18 +0000 2025,29,1054
352,Corinthians,Todo Poderoso Timão,"GOLAÇOOOOOO DO BRENO BIDON!

GRÊMIO 1-1 CORINTHIANS! 

 https://t.co/xf62b3Enay",Thu Jun 12 23:38:46 +0000 2025,50,279
353,Corinthians,Meu Timão,"Augusto Melo, presidente afastado do Corinthians, afirma que tinha um acordo encaminhado com o Mercado Livre para os naming rights do CT Joaquim Grava.

🎥 Podcast Denílson Show https://t.co/Eob4KHVAGV",Tue Jun 10 20:39:07 +0000 2025,17,379
354,Corinthians,ESPN Brasil,"De saída do São Paulo, Igor Vinícius deve reforçar Corinthians a pedido de Dorival 

▶️ https://t.co/7PAfZMssFD 

#FutebolNaESPN",Fri Jun 06 13:34:25 +0000 2025,4,37
355,Corinthians,"É o Time do Povo, é o Coringão","Vai Br…Corinthians! 😂

🎥 @paizao https://t.co/SDCGnORDAl",Wed Jun 11 01:56:33 +0000 2025,99,1519
356,Corinthians,Gabryel.,"O São Paulo tem elenco pior que Mirassol? Vasco? Juventude? Santos? Fortaleza? Corinthians? Grêmio? Bragantino? Ceará? Vitoria? Sport? Inter? Galo? Cruzeiro? Flu? 

Admite que o treinador é uma merda.

São Paulo tem elenco pra brigar lá em cima.",Fri Jun 13 17:44:20 +0000 2025,16,202
357,Corinthians,Meu Timão,"Osmar Stabile fala sobre ter colocado nomes de gestões anteriores em cargos da atual gestão do Corinthians.

🎥 @caiobatimao / Meu Timão

🔴 Apoio: @KTO_brasil – Jogue com responsabilidade (+18) https://t.co/AYM8emTIQ5",Sat Jun 14 18:04:42 +0000 2025,4,26
358,Corinthians,Grêmio TimeLine,"Elogie o Mano Menezes contra o Juventude mas hoje eu posso descer o PAU sem dó, ok?

SE ACADELOU PARA OS RESERVAS DO CORINTHIANS. 

Futebol mais feio do que bater em mãe. 

Jogou como time pequeno dentro da Arena.

VAI TOMAR NO CU https://t.co/HX5oYa1HzO",Fri Jun 13 01:00:33 +0000 2025,10,273
